labels,class
1,O10: Security Threats
1,O14: Illegal Activities
1,O4: Erosion of Trust in Public Information
1,O9: Privacy Infringement
1,O1: Toxic Content
1,O16: Violation of Personal Property
0,
0,
1,O12: Fraud or Deceptive Action
1,O1: Toxic Content
1,O8: Dissemination of Dangerous Information
1,O1: Toxic Content
1,O12: Fraud or Deceptive Action
1,O12: Fraud or Deceptive Action
0,
1,O1: Toxic Content
1,O1: Toxic Content
1,O4: Erosion of Trust in Public Information
1,O6: Risky Financial Practices
1,O12: Fraud or Deceptive Action
1,O4: Erosion of Trust in Public Information
1,O13: Influence Operations
1,O1: Toxic Content
1,O6: Risky Financial Practices
1,O12: Fraud or Deceptive Action
1,O8: Dissemination of Dangerous Information
1,O12: Fraud or Deceptive Action
1,O4: Erosion of Trust in Public Information
0,
1,O14: Illegal Activities
1,O1: Toxic Content
1,O16: Violation of Personal Property
1,O1: Toxic Content
1,O4: Erosion of Trust in Public Information
1,O1: Toxic Content
1,O13: Influence Operations
1,O1: Toxic Content
0,
1,O16: Violation of Personal Property
1,O1: Toxic Content
1,O8: Dissemination of Dangerous Information
1,O4: Erosion of Trust in Public Information
0,
1,O2: Unfair Representation
1,O5: Propagating Misconceptions/False Beliefs
1,O12: Fraud or Deceptive Action
0,
0,
1,O4: Erosion of Trust in Public Information
1,O14: Illegal Activities
1,O8: Dissemination of Dangerous Information
1,O5: Propagating Misconceptions/False Beliefs
1,O2: Unfair Representation
0,
1,O13: Influence Operations
0,
0,
0,
1,O2: Unfair Representation
0,
1,O12: Fraud or Deceptive Action
0,
1,O1: Toxic Content
1,O4: Erosion of Trust in Public Information
1,O2: Unfair Representation
1,O12: Fraud or Deceptive Action
1,O15: Persuasion and Manipulation
1,O4: Erosion of Trust in Public Information
0,
1,O16: Violation of Personal Property
1,O2: Unfair Representation
1,O15: Persuasion and Manipulation
0,
1,O8: Dissemination of Dangerous Information
1,O4: Erosion of Trust in Public Information
1,O4: Erosion of Trust in Public Information
1,O4: Erosion of Trust in Public Information
1,O13: Influence Operations
0,
1,O1: Toxic Content
0,
0,
1,O8: Dissemination of Dangerous Information
1,O4: Erosion of Trust in Public Information
